index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT
107130,1,0,0,0,0,0,1,0,0,1,0,0,0,1
103971,1,0,0,1,0,0,0,0,1,0,0,0,0,1
45035,1,0,1,0,0,0,0,0,1,0,0,0,0,1
84613,1,0,0,0,0,1,0,0,1,0,0,0,0,1
93331,1,0,0,0,0,1,0,0,0,1,0,0,0,1
32828,1,0,0,0,0,1,0,0,0,1,0,0,0,1
57724,1,0,0,0,1,0,0,0,1,0,0,0,0,1
43589,1,0,1,0,0,0,0,0,1,0,0,0,0,1
99344,1,0,0,1,0,0,0,0,0,1,0,0,0,1
52940,1,0,0,1,0,0,0,0,1,0,0,0,1,0
54892,1,0,0,0,0,1,0,0,1,0,0,0,0,1
91175,1,0,0,0,1,0,0,0,0,1,0,0,0,1
69314,1,0,0,0,1,0,0,0,1,0,0,0,0,1
100599,1,0,0,0,0,1,0,0,1,0,0,0,0,1
22526,1,0,0,0,0,1,0,0,1,0,0,0,0,1
11829,1,0,0,0,1,0,0,0,1,0,0,1,0,0
102972,1,0,0,0,1,0,0,0,1,0,0,1,0,0
57681,1,0,0,1,0,0,0,0,0,1,0,0,0,1
40135,1,0,0,0,1,0,0,0,0,1,0,0,0,1
79820,1,0,0,1,0,0,0,0,1,0,0,0,0,1
25119,1,0,0,1,0,0,0,0,1,0,0,1,0,0
103129,1,0,0,0,1,0,0,0,1,0,0,0,1,0
79820,1,0,0,1,0,0,0,0,1,0,0,0,0,1
65753,1,0,1,0,0,0,0,0,0,1,0,0,1,0
65753,1,0,1,0,0,0,0,0,0,1,0,0,1,0
29514,1,1,0,0,0,0,0,0,1,0,0,0,0,1
66795,1,1,0,0,0,0,0,0,1,0,0,1,0,0
61784,1,0,0,1,0,0,0,0,1,0,0,1,0,0
16964,1,0,0,1,0,0,0,0,1,0,0,0,1,0
100431,1,0,0,0,1,0,0,0,0,1,0,1,0,0
56616,1,0,0,0,1,0,0,0,0,1,0,1,0,0
80482,1,1,0,0,0,0,0,0,1,0,0,0,0,1
39373,1,0,1,0,0,0,0,0,1,0,0,0,0,1
97119,1,0,1,0,0,0,0,0,1,0,0,0,0,1
107809,1,0,0,0,1,0,0,0,1,0,0,1,0,0
91985,1,0,1,0,0,0,0,0,0,1,0,0,1,0
99103,1,0,0,0,1,0,0,0,0,1,0,0,0,1
79160,1,0,0,0,1,0,0,0,1,0,0,1,0,0
54850,1,0,0,0,1,0,0,0,1,0,0,0,0,1
76069,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2560,1,0,0,0,1,0,0,0,1,0,0,0,1,0
101250,1,0,1,0,0,0,0,0,1,0,0,0,1,0
96594,1,0,0,0,0,1,0,0,0,1,0,0,1,0
86471,1,0,1,0,0,0,0,0,1,0,0,1,0,0
91096,1,0,0,0,1,0,0,0,1,0,0,1,0,0
59081,1,0,0,1,0,0,0,0,1,0,0,0,0,1
101916,1,0,0,0,1,0,0,0,1,0,0,0,1,0
93221,1,0,0,1,0,0,0,0,1,0,0,1,0,0
105215,1,0,0,0,1,0,0,0,1,0,0,0,0,1
50293,1,0,0,0,1,0,0,0,0,1,0,0,0,1
80479,1,0,0,1,0,0,0,0,1,0,0,0,0,1
30751,1,0,0,0,1,0,0,0,0,1,0,0,0,1
106252,1,0,1,0,0,0,0,0,1,0,0,1,0,0
47956,1,0,0,0,0,1,0,0,1,0,0,0,0,1
76846,1,0,0,1,0,0,0,0,1,0,0,0,0,1
45578,1,0,1,0,0,0,0,0,0,1,0,1,0,0
73384,1,0,0,0,1,0,0,0,1,0,0,0,0,1
37983,1,1,0,0,0,0,0,0,1,0,0,0,0,1
42251,1,0,0,1,0,0,0,0,1,0,0,0,0,1
17825,1,0,0,0,0,0,1,0,0,1,0,1,0,0
35141,1,0,0,1,0,0,0,0,0,1,0,1,0,0
64038,1,0,0,0,0,0,0,1,0,1,0,1,0,0
56607,1,0,0,1,0,0,0,0,0,1,0,1,0,0
21667,1,0,0,0,1,0,0,0,1,0,0,0,0,1
23082,1,0,0,0,1,0,0,0,1,0,0,0,0,1
72143,1,0,0,0,1,0,0,0,0,1,0,0,0,1
54530,1,0,0,0,0,0,1,0,0,1,0,1,0,0
6757,1,1,0,0,0,0,0,0,1,0,0,0,0,1
97914,1,0,0,0,0,0,1,0,0,1,0,1,0,0
100106,1,0,1,0,0,0,0,0,0,1,0,1,0,0
27367,1,0,1,0,0,0,0,0,1,0,0,1,0,0
30386,1,0,0,1,0,0,0,0,0,1,0,1,0,0
101530,1,0,0,0,0,1,0,0,1,0,0,0,1,0
93817,1,0,1,0,0,0,0,0,1,0,0,0,0,1
46914,1,0,0,0,1,0,0,0,0,1,0,0,1,0
72665,1,0,1,0,0,0,0,0,1,0,0,1,0,0
63849,1,0,0,0,1,0,0,0,0,1,0,0,0,1
58812,1,0,0,0,1,0,0,0,0,1,0,0,1,0
58523,1,0,0,0,1,0,0,0,1,0,0,0,0,1
102298,1,0,0,0,0,1,0,0,0,1,0,0,1,0
73056,1,0,0,0,1,0,0,0,1,0,0,0,0,1
44431,1,0,0,0,0,1,0,0,0,1,0,0,1,0
89934,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2054,1,0,0,0,1,0,0,0,1,0,0,0,0,1
70161,1,0,0,1,0,0,0,0,0,1,0,0,1,0
68138,1,0,0,0,1,0,0,0,1,0,0,0,0,1
55735,1,0,0,1,0,0,0,0,1,0,0,0,0,1
92529,1,0,0,1,0,0,0,0,0,1,0,0,1,0
68413,1,0,0,1,0,0,0,0,1,0,0,0,1,0
82852,1,0,0,1,0,0,0,0,0,1,0,0,0,1
91621,1,1,0,0,0,0,0,0,1,0,0,0,0,1
82852,1,0,0,1,0,0,0,0,0,1,0,0,0,1
92289,1,0,0,1,0,0,0,0,0,1,0,0,0,1
107717,1,0,0,0,1,0,0,0,1,0,0,0,0,1
43612,1,0,0,0,1,0,0,0,1,0,0,0,0,1
28517,1,0,0,0,1,0,0,0,0,1,0,1,0,0
75761,1,0,0,1,0,0,0,0,1,0,0,0,1,0
84316,1,0,0,0,0,1,0,0,0,1,0,1,0,0
81774,1,1,0,0,0,0,0,0,1,0,0,1,0,0
67985,1,0,1,0,0,0,0,0,1,0,0,0,1,0
97806,1,0,0,1,0,0,0,0,1,0,0,1,0,0
