index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
25104,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
89254,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
23369,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
41283,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26436,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
102907,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
102206,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
63453,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
16382,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
4072,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
82400,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
56428,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
59520,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
24077,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
6116,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107785,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
30751,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
11672,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
63397,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
53528,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
82660,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
80479,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
24337,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
103751,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
36015,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
22098,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
75750,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
100055,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
64405,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
8517,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
3833,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
105342,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
57845,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
55315,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
88176,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
80966,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
88816,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
74026,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
94873,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
46169,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104997,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
27043,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23056,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
76671,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
78843,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
24077,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
104713,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2360,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
47817,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
104713,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
76001,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
97896,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
93882,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
50293,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
81482,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
