index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
94238,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
81235,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
76072,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
31053,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
64463,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
97106,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
85228,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
93837,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
5868,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
40971,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
46980,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
77541,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
72756,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
31556,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
16919,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
56412,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
62901,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
78344,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
100106,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
80059,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
87750,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
57700,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
29143,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
43612,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
66819,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
43048,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
62441,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
55036,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
62378,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
32848,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
74606,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
74476,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
6757,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
91810,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
70489,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
91400,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
8516,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
46018,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
75523,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
94976,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
29266,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
97182,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
104799,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
79411,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
60769,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
525,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
103979,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
48472,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
59847,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
68688,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
104238,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
80060,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
42849,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
49082,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
59441,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
58330,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
23082,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
53549,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
53038,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
88332,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
99062,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
84998,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
88434,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
80913,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
47746,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40650,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
46673,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
79932,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
2176,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
95081,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
20989,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
62173,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
106942,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2471,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
54096,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
10205,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
52704,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
88042,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
103319,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
85175,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
80479,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
26755,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
101250,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
90362,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
97453,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2129,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
60313,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
88434,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
102972,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
73052,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45745,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
100384,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68138,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
102102,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
60315,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
21559,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
70161,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
88662,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
8812,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
55645,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
87961,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
18198,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
63283,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
48752,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
22442,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
93990,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
21470,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
86732,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
72509,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
15821,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
107800,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
98682,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
90686,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
57010,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
65227,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
71380,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
51750,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
64709,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
97270,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
33260,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
86348,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
28415,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
74370,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
44608,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
72941,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
105574,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
80326,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
71030,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
73617,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
46642,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
32345,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
93021,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
26653,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
87448,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
77306,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
35408,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
77945,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
25171,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
67952,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
80918,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
62018,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
57838,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
45864,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
18536,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
95281,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
64095,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
76096,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
24185,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
